Movie Name,ID,Release Date,Revenue in $Millions,Rating,Animation,Adventure,Comedy,Family,Science Fiction,Action,Fantasy,Crime,Thriller,Romance,Music,History,Drama,Mystery,Horror
Godzilla x Kong: The New Empire,48,29-Mar-24,571.750016,7.1,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No
The First Omen,49,5-Apr-24,53.84588,6.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Monkey Man,50,5-Apr-24,35.271631,6.932,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
A Little Something Extra,51,10-Apr-24,84.044095,7.142,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Detective Conan: The Million-Dollar Pentagram,52,12-Apr-24,108.136957,6.8,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No
Back to Black,53,12-Apr-24,50.996759,6.667,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No
Guest from the Future,54,18-Apr-24,15.90029,7.6,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Abigail,55,19-Apr-24,42.791449,6.802,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
The Ministry of Ungentlemanly Warfare,56,19-Apr-24,29.715044,7.115,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
Blue Lock: Episode Nagi,57,19-Apr-24,14.291561,7.527,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
The Roundup: Punishment,58,24-Apr-24,80.426848,6.8,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No
Civil War,59,26-Apr-24,126.185957,6.9,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
Challengers,60,26-Apr-24,96.019408,7,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No
Unsung Hero,61,26-Apr-24,21.214331,6.593,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No
Face Off 7: One Wish,62,26-Apr-24,19.35376,8,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
Twilight of the Warriors: Walled In,63,1-May-24,17.111121,7,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No
The Fall Guy,64,3-May-24,181.073291,7.1,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No
Tarot,65,3-May-24,49.256239,6.5,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Kingdom of the Planet of the Apes,66,10-May-24,397.37815,7.1,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No
"La planÃ¨te des singes, une odyssÃ©e de l'espÃ¨ce",67,10-May-24,19.515102,7.8,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Following,68,15-May-24,8.798081,7.148,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No
IF,69,17-May-24,190.309707,7.199,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No
The Strangers: Chapter 1,70,17-May-24,48.166448,5.8,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
Furiosa: A Mad Max Saga,71,23-May-24,173.775791,7.514,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No
The Garfield Movie,72,24-May-24,234.572723,7.117,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No
Abudeka Is Back,73,24-May-24,9.163586,0,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No
Uma Musume: Pretty Derby - Beginning of a New Era,74,24-May-24,8.551637,8.7,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No
Sight,75,24-May-24,7.206741,6,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
Bad Boys: Ride or Die,76,7-Jun-24,404.547819,7.468,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No
The Watchers,77,7-Jun-24,33.271404,6.484,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes
Inside Out 2,78,14-Jun-24,1698.772985,7.566,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Dear Family,79,14-Jun-24,8.528605,8,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
The Bikeriders,80,21-Jun-24,36.087646,6.8,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
Kinds of Kindness,81,21-Jun-24,16.398509,6.6,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
Hijack 1971,82,21-Jun-24,14.602614,6.394,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No
Thelma,83,21-Jun-24,12.419513,6.976,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
The Exorcism,84,21-Jun-24,9.65944,5.037,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
Handsome Guys,85,26-Jun-24,14.43961,6.9,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Kalki 2898 AD,86,27-Jun-24,25.331842,6.5,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No
A Quiet Place: Day One,87,28-Jun-24,261.786322,6.776,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes
Horizon: An American Saga - Chapter 1,88,28-Jun-24,38.235702,6.987,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
Despicable Me 4,89,3-Jul-24,969.126452,7.1,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Escape,90,3-Jul-24,18.456373,3.438,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
A Smile Doesn't Lie,91,3-Jul-24,9.21157,5.818,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
Sound of Hope: The Story of Possum Trot,92,4-Jul-24,11.721425,6.8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
MaXXXine,93,5-Jul-24,22.05716,6.386,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes
Longlegs,94,12-Jul-24,126.942386,6.623,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes
Kingdom 4: Return of the Great General,95,12-Jul-24,54.114815,6.917,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
Father There is Only One 4,96,17-Jul-24,14.668098,7,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Twisters,97,19-Jul-24,370.962265,6.905,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
Deadpool & Wolverine,98,26-Jul-24,1338.073645,7.7,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No
Pilot,99,31-Jul-24,30.917972,7.6,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Trap,100,2-Aug-24,82.677281,6.4,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
Harold and the Purple Crayon,101,2-Aug-24,32.227291,6.9,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No
My Hero Academia: You're Next,102,2-Aug-24,32.224616,6.74,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No
Heartsping : Teenieping of Love,103,7-Aug-24,7.725143,7.1,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No
It Ends with Us,104,9-Aug-24,350.993761,7.2,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No
Borderlands,105,9-Aug-24,32.97851,5.79,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No
Buffalo Kids,106,14-Aug-24,7.434047,6.8,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Stree 2,107,15-Aug-24,7.387498,6.7,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Alien: Romulus,108,16-Aug-24,350.865342,7.23,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes
The Count of Monte-Cristo,109,16-Aug-24,74.978738,8.137,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
Blink Twice,110,23-Aug-24,46.393906,6.747,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes
The Forge,111,23-Aug-24,40.392664,8.261,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
Last Mile,112,23-Aug-24,37.164152,7,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No
The Crow,113,23-Aug-24,24.088961,5.9,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes
Lim Young Woong: Im Hero the Stadium,114,28-Aug-24,7.305588,0,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Reagan,115,30-Aug-24,30.107173,6.432,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
Afraid,116,30-Aug-24,12.977758,6.039,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes
Saturday Night,117,31-Aug-24,9.802248,6.9,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
"I, the Executioner",118,5-Sep-24,53.453611,6.7,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
Beetlejuice Beetlejuice,119,6-Sep-24,451.100435,7.1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes
Speak No Evil,120,13-Sep-24,76.756109,7.3,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
Am I Racist?,121,13-Sep-24,12.311598,6.1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Mrs. Green Apple: The White Lounge,122,13-Sep-24,10.337403,0,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
All About Suomi,123,13-Sep-24,10.17653,0,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No
Jung Kook: I Am Still,124,18-Sep-24,10.763217,8.1,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Terrifier 3,125,19-Sep-24,88.632979,6.9,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
Transformers One,126,20-Sep-24,129.364141,8.11,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
The Substance,127,20-Sep-24,77.770614,7.2,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes
School of Magical Animals 3,128,26-Sep-24,25.000869,7.2,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No
The Wild Robot,129,27-Sep-24,324.291115,8.4,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
Lee,130,27-Sep-24,23.342264,7.079,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
Never Let Go,131,27-Sep-24,16.573225,6.3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes
Megalopolis,132,27-Sep-24,13.858876,5.4,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No
Devara Part 1,133,27-Sep-24,7.361414,7,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
Joker: Folie Ã  Deux,134,4-Oct-24,206.400287,5.516,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No
Look Back,135,4-Oct-24,12.648664,8,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
White Bird,136,4-Oct-24,8.799528,7.8,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
The Apprentice,137,11-Oct-24,17.273502,6.92,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
Muroi Shinji: Yaburezaru Mono,138,11-Oct-24,12.12176,0,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No
Niko: Beyond the Northern Lights,139,11-Oct-24,11.361087,6,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
Piece by Piece,140,11-Oct-24,10.585957,7.594,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Beating Hearts,141,16-Oct-24,35.714047,7.622,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
10 Lives,142,16-Oct-24,16.198576,7.9,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No
Smile 2,143,18-Oct-24,138.08328,6.6,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes
The Enchanted Tinderbox,144,24-Oct-24,11.676459,9,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No
Venom: The Last Dance,145,25-Oct-24,476.857448,6.796,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No
Conclave,146,25-Oct-24,57.908426,7.1,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No
Anora,147,25-Oct-24,30.246869,6.9,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No
Juror #2,148,27-Oct-24,21.309466,7.049,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
Alter weiÃŸer Mann,149,31-Oct-24,8.165361,6,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Here,150,1-Nov-24,14.032045,6.491,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
Emilia PÃ©rez,151,1-Nov-24,9.655756,7.877,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No
Listy do M. Pozegnania i powroty,152,7-Nov-24,9.440754,6.8,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No
Heretic,153,8-Nov-24,43.977764,7.1,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
The Best Christmas Pageant Ever,154,8-Nov-24,39.97831,7.4,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No
Small Things Like These,155,8-Nov-24,8.878821,6.892,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
Overlord: The Sacred Kingdom,156,8-Nov-24,7.614966,7.7,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
Red One,157,15-Nov-24,281.460503,7.037,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No
"Hello, Love, Again",158,15-Nov-24,22.881613,6.6,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No
Muroi Shinji: Ikitsuzukeru Mono,159,15-Nov-24,10.174418,0,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No
A Real Pain,160,15-Nov-24,9.137007,7.2,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
Wicked,161,22-Nov-24,640.17621,7.405,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No
Gladiator II,162,22-Nov-24,435.153922,6.778,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
Bonhoeffer: Pastor. Spy. Assassin.,163,22-Nov-24,12.113004,7.2,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
Moana 2,164,27-Nov-24,896.608683,6.955,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Les boules de NoÃ«l,165,27-Nov-24,8.804443,4.8,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Monsieur Aznavour,166,29-Nov-24,15.188639,7.346,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No
The Firefighters,167,4-Dec-24,16.555362,7,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
Pushpa: The Rule - Part 2,168,5-Dec-24,21.530578,7,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No
Fly Me to the Moon,169,6-Dec-24,42.247783,6.879,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No
The Last Dance,170,6-Dec-24,19.154556,6.796,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No
Doctor X: The Movie,171,6-Dec-24,11.873367,0,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No
Kraven: The Hunter,172,12-Dec-24,52.87655,5.934,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
The Lord of the Rings: The War of the Rohirrim,173,13-Dec-24,18.184,6.9,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
Cells at Work!,174,13-Dec-24,11.23982,0,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No
Mufasa: The Lion King,175,20-Dec-24,335.226293,7.299,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
Sonic the Hedgehog 3,176,20-Dec-24,210.564198,7.7,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
Homestead,177,20-Dec-24,13.336831,4.6,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No
Nosferatu,178,25-Dec-24,48.32402,6.3,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes
A Complete Unknown,179,25-Dec-24,25.679729,8.3,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No
Babygirl,180,25-Dec-24,8.484475,5.2,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
We Live in Time,181,1-Jan-25,32.071378,7.577,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No
The Room Next Door,182,10-Jan-25,8.353954,7.2,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
I'm Still Here,183,31-Jan-25,11.1,8.917,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
Attack on Titan the Movie: The Last Attack,184,10-Feb-25,7.7968,9.7,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
Paddington in Peru,185,14-Feb-25,48.960581,7.5,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
The Marching Band,186,14-Feb-25,11.515634,7.4,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No
Parthenope,187,14-Feb-25,7.942189,7.1,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
